Subject,Start Date,End Date,Start Time,End Time
"IA Cours
P.Amphi",02/19/21,02/19/21,2:00 PM,5:45 PM
TP IA G1/E201,02/19/21,02/19/21,3:45 PM,5:45 PM
Vacances d'HIVER,02/22/21,02/22/21,9:00 AM,10:30 AM
"Anglais GA, IELTS",03/01/21,03/01/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",03/01/21,03/01/21,10:45 AM,12:45 PM
PARTIELS,03/01/21,03/01/21,2:00 PM,5:45 PM
"Anglais
Magistère Salle
315",03/01/21,03/01/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",03/01/21,03/01/21,10:45 AM,12:45 PM
"Anglais GA, IELTS",03/08/21,03/08/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",03/08/21,03/08/21,10:45 AM,12:45 PM
Projet PFA G1/E202,03/08/21,03/08/21,2:00 PM,5:45 PM
"Lang. Formel
Cours G Amphi",03/09/21,03/09/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",03/09/21,03/09/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",03/09/21,03/09/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",03/09/21,03/09/21,3:15 PM,4:45 PM
"IAS Cours
G Amphi",03/11/21,03/11/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",03/11/21,03/11/21,3:45 PM,5:45 PM
"9h-12h15 Hybride
Intro. à l'Optimisation
Combinatoire TP G1/E204, G2/E203",03/12/21,03/12/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",03/08/21,03/08/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",03/08/21,03/08/21,10:45 AM,12:45 PM
"IA Cours
G.Amphi",03/12/21,03/12/21,2:00 PM,5:45 PM
TP IA G1/E201,03/12/21,03/12/21,3:45 PM,5:45 PM
"Anglais GA, IELTS",03/15/21,03/15/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",03/15/21,03/15/21,10:45 AM,12:45 PM
Projet PFA G1/E202,03/15/21,03/15/21,2:00 PM,5:45 PM
"Lang. Formel
Cours G Amphi",03/16/21,03/16/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",03/16/21,03/16/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",03/16/21,03/16/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",03/16/21,03/16/21,3:15 PM,4:45 PM
"IAS Cours
G Amphi",03/18/21,03/18/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",03/18/21,03/18/21,3:45 PM,5:45 PM
"9h-12h15 Hybride
Intro. à l'Optimisation
Combinatoire TP G1/E204, G2/E203",03/19/21,03/19/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",03/15/21,03/15/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",03/15/21,03/15/21,10:45 AM,12:45 PM
"IA Cours
G.Amphi",03/19/21,03/19/21,2:00 PM,5:45 PM
TP IA G1/E201,03/19/21,03/19/21,3:45 PM,5:45 PM
"Anglais GA, IELTS",03/22/21,03/22/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",03/22/21,03/22/21,10:45 AM,12:45 PM
Projet PFA G1/E202,03/22/21,03/22/21,2:00 PM,5:45 PM
"Lang. Formel
Cours G Amphi",03/23/21,03/23/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",03/23/21,03/23/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",03/23/21,03/23/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",03/23/21,03/23/21,3:15 PM,4:45 PM
"IAS Cours
G Amphi",03/25/21,03/25/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",03/25/21,03/25/21,3:45 PM,5:45 PM
"9h-12h15 Hybride
Intro. à l'Optimisation
Combinatoire TP G1/E204, G2/E203",03/26/21,03/26/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",03/22/21,03/22/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",03/22/21,03/22/21,10:45 AM,12:45 PM
"IA Cours
G.Amphi",03/26/21,03/26/21,2:00 PM,5:45 PM
TP IA G1/E201,03/26/21,03/26/21,3:45 PM,5:45 PM
"Anglais GA, IELTS",03/29/21,03/29/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",03/29/21,03/29/21,10:45 AM,12:45 PM
Projet PFA G1/E202,03/29/21,03/29/21,2:00 PM,5:45 PM
"Lang. Formel
Cours G Amphi",03/30/21,03/30/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",03/30/21,03/30/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",03/30/21,03/30/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",03/30/21,03/30/21,3:15 PM,4:45 PM
